Query 1
id = 18461   score = 1.240287
id = 28424   score = 1.239704
id = 13925   score = 1.231241
id = 24968   score = 1.228637
id = 26396   score = 1.227786
id = 13543   score = 1.220980
id = 13361   score = 1.219706
id = 2232   score = 1.219627
id = 14920   score = 1.214823
id = 28653   score = 1.208640
id = 19677   score = 1.207659
id = 16982   score = 1.203753

Query 32
id = 7762   score = 1.279908
id = 22309   score = 1.269810
id = 29289   score = 1.268562
id = 1312   score = 1.255746
id = 9573   score = 1.238942
id = 16648   score = 1.235320
id = 25310   score = 1.233986
id = 26464   score = 1.228839
id = 24575   score = 1.228018
id = 26583   score = 1.224848
id = 13555   score = 1.221465
id = 8242   score = 1.216146
id = 29397   score = 1.211974
id = 4352   score = 1.205740
id = 12931   score = 1.205024
id = 3952   score = 1.204948
id = 4371   score = 1.201879
id = 8100   score = 1.192894
id = 20719   score = 1.191322
id = 213   score = 1.190771

Query 33
id = 9457   score = 1.364834
id = 16494   score = 1.280074
id = 13681   score = 1.251101
id = 8546   score = 1.249091
id = 20627   score = 1.248233
id = 2151   score = 1.231222
id = 8861   score = 1.228512
id = 9200   score = 1.228259
id = 29459   score = 1.219159
id = 13947   score = 1.215421
id = 8697   score = 1.209916
id = 23070   score = 1.208205
id = 12973   score = 1.207581
id = 12475   score = 1.207047
id = 27789   score = 1.205525
id = 27923   score = 1.202682
id = 17088   score = 1.199378
id = 20041   score = 1.197744
id = 9474   score = 1.192253
id = 2934   score = 1.191449

Query 34
id = 14777   score = 1.320863
id = 28162   score = 1.307959
id = 22970   score = 1.249839
id = 29610   score = 1.235044
id = 23306   score = 1.231252
id = 13905   score = 1.230315
id = 4183   score = 1.227088
id = 4001   score = 1.217968
id = 28727   score = 1.213948
id = 10434   score = 1.213629
id = 8443   score = 1.213187
id = 27262   score = 1.205353
id = 24147   score = 1.198685
id = 7646   score = 1.198473
id = 6693   score = 1.196871
id = 21477   score = 1.194252
id = 22708   score = 1.185488
id = 1720   score = 1.181086
id = 29714   score = 1.178861
id = 23987   score = 1.176228

Query 35
id = 25295   score = 1.434932
id = 29629   score = 1.293456
id = 28409   score = 1.281444
id = 2076   score = 1.268322
id = 23834   score = 1.240127
id = 27127   score = 1.210306
id = 7835   score = 1.202037
id = 8985   score = 1.201504
id = 4584   score = 1.201007
id = 15588   score = 1.198274
id = 7394   score = 1.197046
id = 27821   score = 1.195291
id = 11280   score = 1.193558
id = 17614   score = 1.192395
id = 1209   score = 1.189901
id = 12345   score = 1.183791
id = 25584   score = 1.182580
id = 22794   score = 1.175731
id = 23753   score = 1.175217
id = 29447   score = 1.169495

Query 36
id = 7281   score = 1.421879
id = 19260   score = 1.331906
id = 2967   score = 1.306137
id = 13462   score = 1.291782
id = 7037   score = 1.280860
id = 15359   score = 1.248797
id = 1354   score = 1.243181
id = 7469   score = 1.238876
id = 28853   score = 1.233656
id = 19827   score = 1.222951
id = 25014   score = 1.222108
id = 22996   score = 1.220389
id = 23857   score = 1.216672
id = 16864   score = 1.209325
id = 13893   score = 1.209289
id = 22909   score = 1.205985
id = 8407   score = 1.204122
id = 772   score = 1.203467
id = 27456   score = 1.201238
id = 12870   score = 1.197976

Query 37
id = 20100   score = 1.329270
id = 3649   score = 1.258771
id = 17695   score = 1.238230
id = 15007   score = 1.222545
id = 22665   score = 1.217170
id = 22997   score = 1.207481
id = 9786   score = 1.203968
id = 20665   score = 1.201678
id = 2091   score = 1.200523
id = 5432   score = 1.194374
id = 9743   score = 1.187859
id = 14908   score = 1.185722
id = 7167   score = 1.179254
id = 8823   score = 1.178889
id = 5822   score = 1.178420
id = 27249   score = 1.177059
id = 22355   score = 1.174603
id = 15761   score = 1.173950
id = 23393   score = 1.173948
id = 18164   score = 1.170155

Query 38
id = 10038   score = 1.281059
id = 2104   score = 1.279166
id = 1204   score = 1.270446
id = 5636   score = 1.252279
id = 27538   score = 1.244728
id = 29549   score = 1.240174
id = 25881   score = 1.238257
id = 11740   score = 1.237853
id = 25836   score = 1.229551
